# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   87       3.107076420071e-10       7.727174401220e-14      -1.989922751093e-12       0.000000000000e+00       1.434666176419e-11       1.906837882621e-12      -7.893304067577e-15 
   88       3.145306545450e-10       7.935523398309e-14      -2.072555690154e-12       0.000000000000e+00       1.393919169398e-11       1.862941170171e-12      -7.861723453845e-15 
   89       3.183861205996e-10       8.144235883427e-14      -2.156062366443e-12       0.000000000000e+00       1.354740587607e-11       1.820551246549e-12      -7.834414409282e-15 
   90       3.222734644634e-10       8.353131961998e-14      -2.240385222933e-12       0.000000000000e+00       1.317043523883e-11       1.779592698093e-12      -7.808289209617e-15 
   91       3.261918260721e-10       8.562027370370e-14      -2.325465019684e-12       0.000000000000e+00       1.280717940051e-11       1.739966925875e-12      -7.779946721434e-15 
   92       3.301400489874e-10       8.770733481366e-14      -2.411240842052e-12       0.000000000000e+00       1.245629844397e-11       1.701551303100e-12      -7.745663302548e-15 
   93       3.341170327792e-10       8.979059976992e-14      -2.497650775340e-12       0.000000000000e+00       1.211653083843e-11       1.664230436299e-12      -7.702240358689e-15 
   94       3.381228769007e-10       9.186823314342e-14      -2.584634026987e-12       0.000000000000e+00       1.178771976636e-11       1.627997157341e-12      -7.649712594566e-15 
   95       3.421578874336e-10       9.393839549148e-14      -2.672129140216e-12       0.000000000000e+00       1.146992666681e-11       1.592865233420e-12      -7.589032154947e-15 
   96       3.462222210957e-10       9.599921823660e-14      -2.760073373164e-12       0.000000000000e+00       1.116311514415e-11       1.558838220119e-12      -7.521250885369e-15 
   97       3.503158782253e-10       9.804880408809e-14      -2.848402716232e-12       0.000000000000e+00       1.086714721986e-11       1.525909059497e-12      -7.447522991697e-15 
   98       3.544386957661e-10       1.000852274636e-13      -2.937051909449e-12       0.000000000000e+00       1.058177958416e-11       1.494059678172e-12      -7.369107699671e-15 
   99       3.585903402513e-10       1.021065349109e-13      -3.025954459826e-12       0.000000000000e+00       1.030665984785e-11       1.463260585400e-12      -7.287371914467e-15 
  100       3.627703007881e-10       1.041107455291e-13      -3.115042658712e-12       0.000000000000e+00       1.004132279392e-11       1.433470471166e-12      -7.203792880245e-15 
  101       3.669778820430e-10       1.060958513905e-13      -3.204247599156e-12       0.000000000000e+00       9.785186629380e-12       1.404635804261e-12      -7.119960839708e-15 
  102       3.712121972253e-10       1.080598179624e-13      -3.293499193261e-12       0.000000000000e+00       9.537549236934e-12       1.376690430372e-12      -7.037581693651e-15 
